"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"256420555849338881","","","2012-10-11 15:46:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rahul Gandhi, you should check your past before commenting such statements.You were detained in some airport since u possessed drugs!!!","","","",""
"255024797443047424","","","2012-10-07 19:20:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","El clasico should be renamed to: Elmessi vs Elronaldo.","","","",""
"251173186337640448","","","2012-09-27 04:15:28 +0000","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","I liked a @YouTube video from @promotingfilms http://t.co/VBD7jBPZ THE HOBBIT - Official Trailer #2 (2012) [HD]","","","","http://youtu.be/7fNZRlbkLO8?a"
"248119781612453888","","","2012-09-18 18:02:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","When I was little I had a huge imagination. Now I can't even make up a story for English class.","","","",""
"239551686392303616","","","2012-08-26 02:35:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I miss when I was little &amp; didnt care about my weight, clothes or hair. I just did what made me happy.","","","",""
"239296812094197761","","","2012-08-25 09:43:00 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","India is catching up fast. Beware China! Population, Technology and now ban on Internet content.","","","",""
"238274650168254464","","","2012-08-22 14:01:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I wish I could reprogramme my mind .. 
God knows why does it have to be so stupid .","","","",""
"228830630031523841","","","2012-07-27 12:34:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rohit Shekhar is the new Rajnikant, usne apne baap ko paida kiya [:D] #Tiwari","","","",""
"221812701310103552","","","2012-07-08 03:47:23 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @Donkeyji: Sibal Effect: Zero in exam? In Andhra, you can still get admission.","221803779681558530","174222069","2012-07-08 03:11:56 +0000",""
"204919807685046273","","","2012-05-22 13:01:04 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","is So.cl the only SocialNetwork that allows you log in with your other social network (facebook) credentials?","","","",""
"197057265981857793","","","2012-04-30 20:18:08 +0000","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Man U vs Man C http://t.co/Ejlf0iG9","","","","http://instagr.am/p/KDo_m2k76Y/"
"197041691474141186","","","2012-04-30 19:16:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kick Off Manchester City vs Manchester United!","","","",""
"176871648471953408","","","2012-03-06 03:27:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Does initial leads in UP election any indication of a crash landing of Rahul Gandhi in Indian Politics....???","","","",""
"165736582454841344","","","2012-02-04 10:00:55 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If 'Indian-Scam' as a stock would be trading on a Stock Exchange. It would rise forever with ZERO loss.","","","",""
"138258098992332800","","","2011-11-20 14:11:14 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Past 3 days... Social network around me has been all about the song 'why this kolaveri kolaveri di'. Finally saw/heard it. Superfun!!!","","","",""
"130646726771085312","","","2011-10-30 14:06:21 +0000","<a href=""http://www.sonyericsson.com"" rel=""nofollow"">Sony Ericsson Xperia™</a>","I could honestly say I am happy with
the way my life is going right now.","","","",""
"126368698083704832","","","2011-10-18 18:47:00 +0000","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","RT @fakingnews: Kejriwal attacker is a former Congress worker. In that case, Digvijay Singh might accuse the chappal of being an RSS member.","126357449916686336","17381587","2011-10-18 18:02:18 +0000",""
"126368150789959680","","","2011-10-18 18:44:49 +0000","<a href=""http://www.sonyericsson.com"" rel=""nofollow"">Sony Ericsson Xperia™</a>","Y do ppl that u really don't want in ur life always seeem to pop back up when ur Happy?","","","",""
"124460325239144448","","","2011-10-13 12:23:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Best quote I've read today - 10 years ago America had steve jobs, Johny Cash, Bob Hope and now America has NO jobs NO cash NO hope.","","","",""
"119043361331093504","","","2011-09-28 13:38:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @paulocoelho: Don't waste your time with explanations: people only hear what they want to hear","119030134912192512","5520952","2011-09-28 12:46:10 +0000",""
"119036833257635840","119030134912192512","5520952","2011-09-28 13:12:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@paulocoelho unfortunately sometimes we do understand it later sir, with our own sad experiences... but I guess it's truth!","","","",""
"118984831144177664","","","2011-09-28 09:46:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Whatever life gives you, even if it hurts, just be strong and act like you’re okay. Strong walls shake, but never collapse.","","","",""
"101279163310276608","101271581929635840","19929890","2011-08-10 13:10:08 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@BDUTT Chidu rejecting the application is projected as a big news by media as if he himself went & caught Afzal guru!Great politics & media.","","","",""
"101274606484205569","","","2011-08-10 12:52:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","It wud hav been good for India 2 stop the Eng tour putting the blame on riots. Its really painful 2 see the pathetic state of Indian batting","","","",""
"92216516010975232","92193080765190144","18839785","2011-07-16 12:58:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@narendramodi If at all Kasab wud hav been punishd in frnt of public til death,no other terrorist cud hav dared 2 thnk of spreadng terrorism","","","",""
"91894294612418560","91862035612172288","816653","2011-07-15 15:38:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@TechCrunch Is there enough support for more social media? We have LinkedIn, FB, Twitter, Google+. And now Microsoft?","","","",""
"91881759309971456","91865925896253441","78941611","2011-07-15 14:48:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@bhogleharsha control Dada... hope he wont take off his shirt in the commentary box :D","","","",""
